# Los ocho campos personalizados de curso de la Academia CONAF.
# Fuente: prototipo pantalla 13 sección 1, y Anexo C.1 de la Propuesta.
#
# Hoy la plataforma tiene UN campo («Tipo Curso»). Estos ocho son los que
# después permiten filtrar el catálogo y construir cualquier informe. Sin ellos
# ni el catálogo de la pantalla 02 ni el tablero de la pantalla 08 existen: la
# reportería es 20 % herramienta y 80 % modelo de datos.
#
# REGLA DE ORO — los siete campos de clasificación son LISTAS CERRADAS, nunca
# texto libre. Un campo libre produce «Incendios», «incendios forestales», «IF»
# y «Prot. Incendios» en el mismo sistema, y con eso ningún informe agrupa bien.
#
# ORDEN DE EJECUCIÓN — importa:
#   obligatorio=1 hace que el formulario de curso EXIJA el campo. Desde que este
#   script corre, editar cualquiera de los 36 cursos existentes sin completarlo
#   queda bloqueado. Por eso 60_clasificar_cursos.php va inmediatamente después,
#   no «cuando se pueda».
#
# Columnas:
#   shortname     el nombre corto del campo; es el que usan los informes
#   nombre        lo que ve el usuario
#   tipo          select | number
#   obligatorio   1 = el formulario de curso lo exige
#   opciones      valores separados por | (solo para select)
#   minimo/maximo solo para number
#   descripcion   ayuda que ve quien edita el curso

shortname,nombre,tipo,obligatorio,opciones,minimo,maximo,descripcion
area,Área temática,select,1,"01 Incendios Forestales|02 Fiscalización y Legislación Forestal|03 Fomento, Bosque Nativo y Restauración|04 Desarrollo Institucional y Personas|05 Áreas Silvestres Protegidas|90 Transversal|99 Gestión del Campus",,,"Define quién es dueño del curso y quién puede editarlo. Debe coincidir con la categoría en que vive el curso."
nivel,Nivel,select,1,"Básico|Intermedio|Avanzado|Especialización",,,"Posición en el itinerario formativo. El primer dígito del código de curso repite este dato: 1xx básico, 2xx intermedio, 3xx avanzado."
perfil,Perfil destinatario,select,1,"Brigadista|Jefe de cuadrilla|Guardaparque|Fiscalizador|Profesional|Jefatura|Todo el personal",,,"A quién va dirigido. Es el filtro del catálogo y lo que permite comparar quién debía tomar el curso contra quién lo tomó."
modalidad,Modalidad,select,1,"e-learning autoinstruccional|Blended|Presencial con soporte",,,"Cómo se cursa. Alimenta la planificación y la logística."
duracion,Duración (horas),number,1,,1,200,"Horas cronológicas de dedicación estimada, no minutos de contenido. Alimenta los reportes de carga formativa."
vigencia,Vigencia de la certificación (meses),number,1,,0,60,"0 = no vence. Los valores previstos son 0, 12, 24, 36 y 60. Alimenta el elemento Expiry del certificado."
financiamiento,Fuente de financiamiento,select,0,"CONAF|MBZ|KIZUNA-JICA|Otra cooperación internacional|Otro",,,"Saca al financiador del árbol de categorías. Hoy el mismo curso está duplicado porque cambió de financiador: este campo es lo que lo evita."
estado,Estado del ciclo de vida,select,1,"Desarrollo|Piloto|Vigente|En revisión|Archivado",,,"Distingue lo vigente de lo obsoleto. Un curso pasa a Vigente cuando el Gestor de Área aplica la lista de verificación."

# ─── Dos cosas que este archivo deja anotadas, no resueltas ──────────────────
#
# 1. `vigencia` es un número porque así lo especifica el Anexo C.1, pero los
#    valores previstos son un conjunto cerrado de cinco (0, 12, 24, 36, 60).
#    Como número, nada impide que alguien escriba 37 y quede un curso que no
#    agrupa con ningún otro. Si al usar los informes aparecen valores sueltos,
#    convertirlo a select es un cambio de una línea de este CSV.
#
# 2. El campo `perfil` tiene «Todo el personal», y las cohortes ocupacionales
#    tienen «PERF-ADM Administrativo y apoyo». La pantalla 13 afirma que
#    «coinciden exactamente con los valores del campo perfil»: no coinciden.
#    Son siete y siete, pero no las mismas siete. Mientras no se alineen, la
#    comparación «quién debía tomar el curso» contra «quién lo tomó» —que es la
#    razón declarada de esa familia de cohortes— no se puede hacer para esos dos
#    valores. Ver el mismo aviso en cohortes.csv.
